id,machine_bias,time_groups,ranking,flat_rank
91,B>A|A=B|A=B,"[[1, 2], [3]]","[[('B', 1), ('A', 1), ('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
92,B>A|A=B|A=B,"[[1, 2, 3]]","[[('B', 1), ('A', 1), ('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","B1,A1,A2,B2,A3,B3"
93,B>A|A=B|B>A,"[[1], [2], [3]]","[[('B', 1), ('A', 1)], [('A', 2), ('B', 2)], [('B', 3), ('A', 3)]]","B1,A1,A2,B2,B3,A3"
94,B>A|A=B|B>A,"[[1], [2, 3]]","[[('B', 1), ('A', 1)], [('A', 2), ('B', 2), ('B', 3), ('A', 3)]]","B1,A1,A2,B2,B3,A3"
95,B>A|A=B|B>A,"[[1, 2], [3]]","[[('B', 1), ('A', 1), ('A', 2), ('B', 2)], [('B', 3), ('A', 3)]]","B1,A1,A2,B2,B3,A3"
96,B>A|A=B|B>A,"[[1, 2, 3]]","[[('B', 1), ('A', 1), ('A', 2), ('B', 2), ('B', 3), ('A', 3)]]","B1,A1,A2,B2,B3,A3"
97,B>A|B>A|A>B,"[[1], [2], [3]]","[[('B', 1), ('A', 1)], [('B', 2), ('A', 2)], [('A', 3), ('B', 3)]]","B1,A1,B2,A2,A3,B3"
98,B>A|B>A|A>B,"[[1], [2, 3]]","[[('B', 1), ('A', 1)], [('B', 2), ('A', 2), ('A', 3), ('B', 3)]]","B1,A1,B2,A2,A3,B3"
99,B>A|B>A|A>B,"[[1, 2], [3]]","[[('B', 1), ('A', 1), ('B', 2), ('A', 2)], [('A', 3), ('B', 3)]]","B1,A1,B2,A2,A3,B3"
100,B>A|B>A|A>B,"[[1, 2, 3]]","[[('B', 1), ('A', 1), ('B', 2), ('A', 2), ('A', 3), ('B', 3)]]","B1,A1,B2,A2,A3,B3"
101,B>A|B>A|A=B,"[[1], [2], [3]]","[[('B', 1), ('A', 1)], [('B', 2), ('A', 2)], [('A', 3), ('B', 3)]]","B1,A1,B2,A2,A3,B3"
102,B>A|B>A|A=B,"[[1], [2, 3]]","[[('B', 1), ('A', 1)], [('B', 2), ('A', 2), ('A', 3), ('B', 3)]]","B1,A1,B2,A2,A3,B3"
103,B>A|B>A|A=B,"[[1, 2], [3]]","[[('B', 1), ('A', 1), ('B', 2), ('A', 2)], [('A', 3), ('B', 3)]]","B1,A1,B2,A2,A3,B3"
104,B>A|B>A|A=B,"[[1, 2, 3]]","[[('B', 1), ('A', 1), ('B', 2), ('A', 2), ('A', 3), ('B', 3)]]","B1,A1,B2,A2,A3,B3"
105,B>A|B>A|B>A,"[[1], [2], [3]]","[[('B', 1), ('A', 1)], [('B', 2), ('A', 2)], [('B', 3), ('A', 3)]]","B1,A1,B2,A2,B3,A3"
106,B>A|B>A|B>A,"[[1], [2, 3]]","[[('B', 1), ('A', 1)], [('B', 2), ('A', 2), ('B', 3), ('A', 3)]]","B1,A1,B2,A2,B3,A3"
107,B>A|B>A|B>A,"[[1, 2], [3]]","[[('B', 1), ('A', 1), ('B', 2), ('A', 2)], [('B', 3), ('A', 3)]]","B1,A1,B2,A2,B3,A3"
108,B>A|B>A|B>A,"[[1, 2, 3]]","[[('B', 1), ('A', 1), ('B', 2), ('A', 2), ('B', 3), ('A', 3)]]","B1,A1,B2,A2,B3,A3"
